[0m
> build · nemotron-3-ultra-free
[0m
[0m$ [0mls -la reposcan-raw/threema-ch/
total 76
drwxr-xr-x 19 runner runner 4096 Aug 21 03:40 .
drwxr-xr-x  3 runner runner 4096 Aug 21 03:40 ..
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 apns-h2
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 app-remote-protocol
drwxr-xr-x 10 runner runner 4096 Aug 21 03:40 compose-area
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 push-relay
drwxr-xr-x 14 runner runner 4096 Aug 21 03:40 threema-android
drwxr-xr-x  8 runner runner 4096 Aug 21 03:40 threema-bot-sdk
drwxr-xr-x 12 runner runner 4096 Aug 21 03:40 threema-desktop
drwxr-xr-x 32 runner runner 4096 Aug 21 03:40 threema-ios
drwxr-xr-x  6 runner runner 4096 Aug 21 03:40 threema-markup
drwxr-xr-x  4 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-java
drwxr-xr-x  5 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-php
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-python
drwxr-xr-x  9 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-rust
drwxr-xr-x 16 runner runner 4096 Aug 21 03:40 threema-web
drwxr-xr-x  8 runner runner 4096 Aug 21 03:40 threema-web-electron
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 wasm-minisign-verify
drwxr-xr-x  5 runner runner 4096 Aug 21 03:40 webrtc-build-docker
[0m
Based on the scan results and knowledge base context, here's the classification:

## Classification Tables

### REAL_SECRET (0)
*None found - no hardcoded live credentials with signs of life*

### TEST_OR_EXAMPLE (38)
| File | Line | Pattern | Notes |
|------|------|---------|-------|
| threema-ios/Threema/AppMigration.swift | 873 | `persistenceKeyLicensePassword = "Threema license password"` | UserDefaults **key name**, not password (KB: REJECTED MISCONFIG) |
| threema-ios/ThreemaFrameworkTests/HTTPClientTests.swift | 15 | `expectedAuthToken = "authToken"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/HTTPClientTests.swift | 18 | `expectedPassword = "testPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/SafeDataTests.swift | 11 | `serverPassword: "password1"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataFetchTests/WorkDataThreemaMDMFetcherTests.swift | 50 | `licensePassword = "testPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataFetchTests/WorkDataThreemaMDMFetcherTests.swift | 72 | `password: "testPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataFetchTests/WorkDataThreemaMDMFetcherTests.swift | 148 | `licensePassword = "testPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataAPICallerTests.swift | 13 | `expectedPassword = "testPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataAPICallerTests.swift | 37 | `password: "validPassword"` | Test fixture |
| threema-ios/ThreemaFrameworkTests/WorkDataAPICallerTests.swift | 103 | `password: "testPassword"` | Test fixture |
| threema-ios/ThreemaTests/SafeTests.swift | 67 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture (KB: INTERESTING) |
| threema-ios/ThreemaTests/SafeTests.swift | 76 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-ios/ThreemaTests/SafeTests.swift | 105 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
